,SampleTime,TempF,Humidity,WindSpeedMPH,i
1,6/1/2018 0:00,72,100,3,1
2,6/1/2018 1:00,72,100,0,1
3,6/1/2018 2:00,70,100,3,1
4,6/1/2018 3:00,73,100,3,1
5,6/1/2018 4:00,75,100,0,1
6,6/1/2018 5:00,79,74,0,1
7,6/1/2018 6:00,81,61,0,1
8,6/1/2018 7:00,82,54,9,1
9,6/1/2018 8:00,84,51,6,1
10,6/1/2018 9:00,86,48,5,1
11,6/1/2018 10:00,88,46,5,1
12,6/1/2018 11:00,86,51,0,1
13,6/1/2018 12:00,90,46,0,1
14,6/1/2018 13:00,88,49,0,1
15,6/1/2018 14:00,88,55,3,1
16,6/1/2018 15:00,88,55,0,1
17,6/1/2018 16:00,88,55,0,1
18,6/1/2018 17:00,79,83,0,1
19,6/1/2018 18:00,77,100,0,1
20,6/1/2018 19:00,72,100,5,1
21,6/1/2018 20:00,72,100,0,1
22,6/1/2018 21:00,72,100,0,1
23,6/1/2018 22:00,72,100,0,1
24,6/1/2018 23:00,72,100,0,1
25,6/2/2018 0:00,72,100,3,2
26,6/2/2018 1:00,71,96,0,2
27,6/2/2018 2:00,71,93,0,2
28,6/2/2018 3:00,71,96,3,2
29,6/2/2018 4:00,74,91,3,2
30,6/2/2018 5:00,75,87,6,2
31,6/2/2018 6:00,76,82,5,2
32,6/2/2018 7:00,78,74,8,2
33,6/2/2018 8:00,79,72,9,2
34,6/2/2018 9:00,79,74,8,2
35,6/2/2018 10:00,82,67,8,2
36,6/2/2018 11:00,83,63,12,2
37,6/2/2018 12:00,78,71,13,2
38,6/2/2018 13:00,78,74,12,2
39,6/2/2018 14:00,76,85,6,2
40,6/2/2018 15:00,75,90,5,2
41,6/2/2018 16:00,75,87,3,2
42,6/2/2018 17:00,74,91,0,2
43,6/2/2018 18:00,74,91,6,2
44,6/2/2018 19:00,72,87,5,2
45,6/2/2018 20:00,72,81,8,2
46,6/2/2018 21:00,71,93,3,2
47,6/2/2018 22:00,71,93,0,2
48,6/2/2018 23:00,71,93,5,2
49,6/3/2018 0:00,71,93,0,3
50,6/3/2018 1:00,68,93,5,3
51,6/3/2018 2:00,67,97,8,3
52,6/3/2018 3:00,68,93,7,3
53,6/3/2018 4:00,69,93,5,3
54,6/3/2018 5:00,68,90,15,3
55,6/3/2018 6:00,66,87,14,3
56,6/3/2018 7:00,65,78,16,3
57,6/3/2018 8:00,65,78,10,3
58,6/3/2018 9:00,65,73,9,3
59,6/3/2018 10:00,64,75,8,3
60,6/3/2018 11:00,62,80,6,3
61,6/3/2018 12:00,61,87,7,3
62,6/3/2018 13:00,61,81,6,3
63,6/3/2018 14:00,60,86,5,3
64,6/3/2018 15:00,60,83,6,3
65,6/3/2018 16:00,59,83,7,3
66,6/3/2018 17:00,59,83,6,3
67,6/3/2018 18:00,59,87,3,3
68,6/3/2018 19:00,58,90,7,3
69,6/3/2018 20:00,58,87,6,3
70,6/3/2018 21:00,71,81,9,3
71,6/3/2018 22:00,69,87,8,3
72,6/3/2018 23:00,69,84,8,3
73,6/4/2018 0:00,68,90,7,4
74,6/4/2018 1:00,58,90,0,4
75,6/4/2018 2:00,58,90,0,4
76,6/4/2018 3:00,58,90,3,4
77,6/4/2018 4:00,58,93,3,4
78,6/4/2018 5:00,59,90,6,4
79,6/4/2018 6:00,61,87,6,4
80,6/4/2018 7:00,65,81,6,4
81,6/4/2018 8:00,69,73,10,4
82,6/4/2018 9:00,74,57,15,4
83,6/4/2018 10:00,73,51,17,4
84,6/4/2018 11:00,73,51,14,4
85,6/4/2018 12:00,74,50,14,4
86,6/4/2018 13:00,76,46,13,4
87,6/4/2018 14:00,76,43,17,4
88,6/4/2018 15:00,75,48,8,4
89,6/4/2018 16:00,73,49,9,4
90,6/4/2018 17:00,70,51,7,4
91,6/4/2018 18:00,67,59,8,4
92,6/4/2018 19:00,66,59,0,4
93,6/4/2018 20:00,64,63,0,4
94,6/4/2018 21:00,57,89,3,4
95,6/4/2018 22:00,57,89,0,4
96,6/4/2018 23:00,58,90,0,4
97,6/5/2018 0:00,58,93,3,5
98,6/5/2018 1:00,60,69,6,5
99,6/5/2018 2:00,58,78,6,5
100,6/5/2018 3:00,59,78,5,5
101,6/5/2018 4:00,63,67,6,5
102,6/5/2018 5:00,63,67,10,5
103,6/5/2018 6:00,66,56,12,5
104,6/5/2018 7:00,69,51,9,5
105,6/5/2018 8:00,73,48,13,5
106,6/5/2018 9:00,75,44,16,5
107,6/5/2018 10:00,76,45,16,5
108,6/5/2018 11:00,74,50,8,5
109,6/5/2018 12:00,74,50,12,5
110,6/5/2018 13:00,75,48,12,5
111,6/5/2018 14:00,73,53,13,5
112,6/5/2018 15:00,63,78,15,5
113,6/5/2018 16:00,61,87,12,5
114,6/5/2018 17:00,62,84,10,5
115,6/5/2018 18:00,61,90,6,5
116,6/5/2018 19:00,61,87,6,5
117,6/5/2018 20:00,61,83,8,5
118,6/5/2018 21:00,63,65,5,5
119,6/5/2018 22:00,62,67,0,5
120,6/5/2018 23:00,61,67,0,5
121,6/6/2018 0:00,61,67,6,6
122,6/6/2018 1:00,56,84,0,6
123,6/6/2018 2:00,53,89,6,6
124,6/6/2018 3:00,55,86,5,6
125,6/6/2018 4:00,58,78,9,6
126,6/6/2018 5:00,60,72,7,6
127,6/6/2018 6:00,62,70,7,6
128,6/6/2018 7:00,63,67,13,6
129,6/6/2018 8:00,65,65,8,6
130,6/6/2018 9:00,65,61,8,6
131,6/6/2018 10:00,65,63,8,6
132,6/6/2018 11:00,66,60,9,6
133,6/6/2018 12:00,67,59,7,6
134,6/6/2018 13:00,65,63,8,6
